Bad ones for codimension c = 6 up to max degree d = 30
{0,1,2,3,4,5,6}
{0,1,2,3,4,9,10}
{0,1,2,3,4,14,15}
{0,1,2,3,4,19,20}
{0,1,2,3,4,24,25}
{0,1,2,3,5,7,8}
{0,1,2,3,5,8,10}
{0,1,2,3,5,26,28}
{0,1,2,3,6,7,8}
{0,1,2,3,6,8,10}
{0,1,2,3,7,8,10}
{0,1,2,3,7,9,10}
{0,1,2,3,7,15,16}
{0,1,2,3,8,9,10}
{0,1,2,3,13,15,16}
{0,1,2,4,5,8,9}
{0,1,2,4,7,8,9}
{0,1,2,5,6,7,8}
{0,1,2,5,6,20,21}
{0,1,2,5,7,8,9}
{0,1,2,5,8,9,10}
{0,1,2,5,15,26,27}
{0,1,2,7,8,9,10}
{0,1,3,4,6,18,21}
{0,1,3,5,6,7,8}
{0,1,3,6,7,8,10}
{0,1,3,7,8,9,10}
{0,1,3,13,14,15,16}
{0,1,4,5,6,9,10}
{0,1,4,5,6,13,14}
{0,1,4,5,7,8,9}
{0,1,4,5,7,12,15}
{0,1,4,5,11,15,16}
{0,1,4,7,11,12,15}
{0,1,5,6,7,20,26}
{0,1,5,11,12,15,16}
{0,1,6,7,8,9,10}
{0,1,6,7,9,15,16}
{0,1,7,9,10,15,16}
{0,1,8,9,10,13,14}
{0,1,8,13,14,15,21}
{0,1,9,13,14,15,16}
{0,1,11,12,13,14,15}
{0,1,12,22,25,26,27}
{0,1,15,16,19,20,21}
{0,1,16,17,18,19,20}
{0,1,21,22,23,24,25}
{0,2,3,4,5,11,14}
{0,2,3,4,5,13,15}
{0,2,3,4,7,9,10}
{0,2,3,4,10,28,30}
{0,2,3,7,8,9,10}
{0,2,4,5,6,12,14}
{0,2,4,6,8,10,12}
{0,2,4,6,8,18,20}
{0,2,4,6,8,28,30}
{0,2,4,6,10,14,16}
{0,2,4,6,10,16,20}
{0,2,4,6,12,14,16}
{0,2,4,6,12,16,20}
{0,2,4,6,14,16,20}
{0,2,4,6,14,18,20}
{0,2,4,6,16,18,20}
{0,2,4,7,8,9,10}
{0,2,4,8,10,16,18}
{0,2,4,8,14,16,18}
{0,2,4,10,12,14,16}
{0,2,4,10,14,16,18}
{0,2,4,10,16,18,20}
{0,2,4,14,16,18,20}
{0,2,5,7,8,9,10}
{0,2,6,10,12,14,16}
{0,2,6,12,14,16,20}
{0,2,6,14,16,18,20}
{0,2,8,9,10,12,14}
{0,2,8,10,12,18,20}
{0,2,8,10,12,26,28}
{0,2,8,10,14,16,18}
{0,2,8,10,14,24,30}
{0,2,8,14,22,24,30}
{0,2,10,11,12,13,15}
{0,2,12,14,16,18,20}
{0,2,16,18,20,26,28}
{0,2,20,26,27,28,30}
{0,2,22,24,26,28,30}
{0,2,23,25,26,27,28}
{0,3,4,8,11,14,15}
{0,3,6,9,12,15,18}
{0,3,6,9,12,27,30}
{0,3,6,9,15,21,24}
{0,3,6,9,15,24,30}
{0,3,6,9,18,21,24}
{0,3,6,9,18,24,30}
{0,3,6,9,21,24,30}
{0,3,6,9,21,27,30}
{0,3,6,9,24,27,30}
{0,3,6,12,15,24,27}
{0,3,6,12,21,24,27}
{0,3,6,15,18,21,24}
{0,3,6,15,21,24,27}
{0,3,6,15,24,27,30}
{0,3,6,21,24,27,30}
{0,3,8,10,11,14,15}
{0,3,9,10,11,12,14}
{0,3,9,15,18,21,24}
{0,3,9,18,21,24,30}
{0,3,9,21,24,27,30}
{0,3,12,15,18,27,30}
{0,3,12,15,21,24,27}
{0,3,15,17,18,20,21}
{0,3,18,21,24,27,30}
{0,4,6,7,8,18,22}
{0,4,6,8,10,22,28}
{0,4,6,8,10,26,30}
{0,4,6,8,14,18,20}
{0,4,6,14,16,18,20}
{0,4,8,10,12,24,28}
{0,4,8,12,16,20,24}
{0,4,8,14,16,18,20}
{0,4,10,14,16,18,20}
{0,4,14,15,16,18,22}
{0,4,16,18,20,24,28}
{0,4,20,22,24,26,30}
{0,5,10,15,20,25,30}
{0,6,7,8,13,20,21}
{0,6,8,16,22,28,30}
{0,6,9,10,12,24,30}
{0,6,9,12,21,27,30}
{0,6,9,21,24,27,30}
{0,6,12,21,24,27,30}
{0,6,15,21,24,27,30}
{0,6,16,20,22,28,30}
{0,6,18,20,21,24,30}
{0,6,18,20,22,24,28}
{0,6,19,20,21,25,26}
gcd_rinsed ones: 
{0,1,2,3,4,5,6}
{0,1,2,3,4,9,10}
{0,1,2,3,4,14,15}
{0,1,2,3,4,19,20}
{0,1,2,3,4,24,25}
{0,1,2,3,5,7,8}
{0,1,2,3,6,7,8}
{0,1,2,3,7,9,10}
{0,1,2,3,7,15,16}
{0,1,2,3,8,9,10}
{0,1,2,3,13,15,16}
{0,1,2,4,5,8,9}
{0,1,2,4,7,8,9}
