Rinsed degree sequences from file ../data/bad_ones_c4.txt
{0,1,2,3,4,5}
{0,1,2,3,5,6}
{0,1,2,4,5,6}
{0,1,3,4,5,6}
{0,1,2,5,6,7}
{0,1,2,3,7,8}
{0,1,3,5,7,8}
{0,1,5,6,7,8}
{0,1,2,4,7,9}
{0,2,5,7,8,9}
{0,1,2,3,8,10}
{0,2,3,7,8,10}
{0,1,4,6,9,10}
{0,2,7,8,9,10}
{0,1,2,3,11,12}
{0,1,5,7,11,12}
{0,1,9,10,11,12}
{0,3,4,10,11,14}
{0,2,5,9,12,14}
{0,2,3,4,13,15}
{0,2,11,12,13,15}
{0,1,2,5,12,16}
{0,1,2,3,15,16}
{0,1,7,9,15,16}
{0,1,5,11,15,16}
{0,1,3,13,15,16}
{0,4,11,14,15,16}
{0,1,13,14,15,16}
{0,1,3,4,18,21}
{0,3,17,18,20,21}
{0,4,7,15,18,22}
{0,1,10,12,21,22}
{0,3,4,6,18,24}
{0,3,4,5,19,24}
{0,6,18,20,21,24}
{0,5,19,20,21,24}
{0,5,8,18,21,26}
{0,2,11,15,24,26}
{0,1,13,15,27,28}
{0,5,11,21,27,32}
{0,7,10,24,27,34}
{0,4,13,21,30,34}
{0,1,16,18,33,34}
{0,2,3,8,30,35}
{0,5,27,32,33,35}
{0,1,3,6,28,36}
{0,1,3,12,33,36}
{0,3,24,33,35,36}
{0,8,30,33,35,36}
{0,8,11,27,30,38}
{0,5,14,24,33,38}
{0,7,13,27,33,40}
