Rinsed degree sequences from file Lfile.txt
{0,1,2,3,4,5}
{0,1,2,4,5,6}
{0,1,4,6,9,10}
{0,2,3,4,5,7}
{0,2,3,5,6,8}
{0,2,3,7,8,10}
{0,2,4,5,7,9}
{0,2,5,9,12,14}
{0,3,4,5,6,9}
{0,3,4,6,7,10}
{0,3,4,10,11,14}
{0,3,5,6,8,11}
{0,4,5,6,7,11}
{0,4,5,7,8,12}
{0,4,5,8,9,13}
{0,4,5,9,10,14}
{0,4,5,13,14,18}
{0,4,7,8,11,15}
{0,4,7,15,18,22}
{0,5,6,7,8,13}
{0,5,6,8,9,14}
{0,5,6,10,11,16}
{0,5,6,16,17,22}
{0,5,6,20,21,26}
{0,5,7,8,10,15}
{0,5,7,9,11,16}
{0,5,7,10,12,17}
{0,5,8,10,13,18}
{0,5,8,18,21,26}
{0,5,10,11,16,21}
{0,6,7,8,9,15}
{0,6,7,9,10,16}
{0,6,7,19,20,26}
{0,7,8,9,10,17}
{0,7,8,10,11,18}
{0,7,8,12,13,20}
{0,7,8,14,15,22}
{0,7,8,22,23,30}
{0,7,9,10,12,19}
{0,7,10,12,15,22}
{0,7,10,14,17,24}
{0,7,10,24,27,34}
{0,7,13,14,20,27}
{0,8,9,10,11,19}
{0,8,9,11,12,20}
{0,8,9,14,15,23}
{0,8,9,25,26,34}
{0,8,10,11,13,21}
{0,8,11,27,30,38}
{0,8,13,15,20,28}
{0,9,10,11,12,21}
{0,9,10,12,13,22}
{0,9,10,14,15,24}
{0,9,10,28,29,38}
{0,9,11,14,16,25}
{0,9,14,16,21,30}
{0,10,11,12,13,23}
{0,10,11,13,14,24}
{0,10,11,15,16,26}
{0,10,11,21,22,32}
{0,10,11,31,32,42}
{0,10,12,13,15,25}
{0,10,13,33,36,46}
{0,11,12,13,14,25}
{0,11,12,14,15,26}
{0,11,12,15,16,27}
{0,11,12,34,35,46}
{0,11,14,16,19,30}
{0,11,14,36,39,50}
{0,11,15,17,21,32}
{0,12,13,14,15,27}
{0,12,13,15,16,28}
{0,12,13,17,18,30}
{0,12,13,37,38,50}
{0,12,14,15,17,29}
{0,12,15,17,20,32}
{0,13,14,15,16,29}
{0,13,14,16,17,30}
{0,13,14,19,20,33}
{0,13,14,20,21,34}
{0,13,14,26,27,40}
{0,13,14,40,41,54}
{0,13,15,16,18,31}
{0,13,15,17,19,32}
{0,13,16,42,45,58}
{0,14,15,16,17,31}
{0,14,15,17,18,32}
{0,14,15,19,20,34}
{0,14,15,20,21,35}
{0,14,15,43,44,58}
{0,14,16,19,21,35}
{0,14,17,45,48,62}
{0,14,19,21,26,40}
{0,15,16,17,18,33}
{0,15,16,18,19,34}
{0,15,16,19,20,35}
{0,15,16,20,21,36}
{0,15,16,21,22,37}
{0,15,16,46,47,62}
{0,15,17,18,20,35}
{0,15,18,20,23,38}
{0,15,20,22,27,42}
{0,16,17,18,19,35}
{0,16,17,19,20,36}
{0,16,17,20,21,37}
{0,16,17,49,50,66}
{0,16,19,21,24,40}
{0,16,19,51,54,70}
{0,17,18,19,20,37}
{0,17,18,20,21,38}
{0,17,18,22,23,40}
{0,17,18,24,25,42}
{0,17,18,52,53,70}
{0,17,19,20,22,39}
{0,17,20,21,24,41}
{0,17,20,22,25,42}
{0,17,20,54,57,74}
{0,17,22,23,28,45}
{0,17,22,28,33,50}
{0,17,24,25,32,49}
{0,17,27,28,38,55}
{0,18,19,20,21,39}
{0,18,19,21,22,40}
{0,18,19,55,56,74}
{0,18,20,21,23,41}
{0,18,21,25,28,46}
{0,19,20,21,22,41}
{0,19,20,22,23,42}
{0,19,20,23,24,43}
{0,19,20,24,25,44}
{0,19,20,34,35,54}
{0,19,20,58,59,78}
{0,19,21,24,26,45}
{0,19,22,60,63,82}
{0,19,23,25,29,48}
{0,19,26,28,35,54}
{0,20,21,22,23,43}
{0,20,21,23,24,44}
{0,20,21,24,25,45}
{0,20,21,25,26,46}
{0,20,21,26,27,47}
{0,20,21,27,28,48}
{0,20,21,61,62,82}
{0,20,22,23,25,45}
{0,20,22,27,29,49}
{0,20,23,25,28,48}
{0,20,23,63,66,86}
