{0,1,2,3,4,5}
{0,1,2,3,4,5}
{0,1,2,3,4,5}
{0,1,2,3,5,6}
{0,1,2,3,7,8}
{0,1,2,4,5,6}
{0,1,2,5,6,7}
{0,1,3,4,5,6}
{0,1,3,5,7,8}
{0,1,4,6,9,10}
{0,1,5,6,7,8}
{0,2,3,7,8,10}
{0,2,4,6,8,10}
{0,2,5,7,8,9}
{0,2,7,8,9,10}
{0,1,2,3,4,5}
{0,1,2,3,5,6}
{0,1,2,3,7,8}
{0,1,2,4,5,6}
{0,1,2,5,6,7}
{0,1,3,4,5,6}
{0,1,3,5,7,8}
{0,1,4,6,9,10}
{0,1,5,6,7,8}
{0,2,5,7,8,9}
{0,2,7,8,9,10}
{0,1,4,6,9,10}
{0,1,5,7,11,12}
{0,1,9,10,11,12}
{0,2,3,7,8,10}
{0,2,4,6,8,10}
{0,2,4,6,10,12}
{0,2,4,8,10,12}
{0,2,4,10,12,14}
{0,2,5,9,12,14}
{0,2,6,8,10,12}
{0,2,7,8,9,10}
{0,2,11,12,13,15}
{0,3,4,10,11,14}
{0,3,6,9,12,15}
{0,1,4,6,9,10}
{0,1,5,7,11,12}
{0,1,9,10,11,12}
{0,2,7,8,9,10}
{0,2,11,12,13,15}
{0,3,4,10,11,14}
{0,1,3,13,15,16}
{0,1,5,11,15,16}
{0,1,7,9,15,16}
{0,1,13,14,15,16}
{0,2,4,6,14,16}
{0,2,6,10,14,16}
{0,2,8,12,18,20}
{0,2,10,12,14,16}
{0,2,11,12,13,15}
{0,3,6,9,12,15}
{0,3,6,9,15,18}
{0,3,6,12,15,18}
{0,3,9,12,15,18}
{0,4,6,14,16,20}
{0,4,8,12,16,20}
{0,4,10,14,16,18}
{0,4,11,14,15,16}
{0,4,14,16,18,20}
{0,1,3,13,15,16}
{0,1,5,11,15,16}
{0,1,7,9,15,16}
{0,1,13,14,15,16}
{0,2,11,12,13,15}
{0,4,11,14,15,16}
{0,1,10,12,21,22}
{0,2,8,12,18,20}
{0,2,10,14,22,24}
{0,2,18,20,22,24}
{0,3,6,9,21,24}
{0,3,6,15,18,21}
{0,3,9,15,21,24}
{0,3,15,18,21,24}
{0,3,17,18,20,21}
{0,4,6,14,16,20}
{0,4,7,15,18,22}
{0,4,8,12,16,20}
{0,4,8,12,20,24}
{0,4,8,16,20,24}
{0,4,12,16,20,24}
{0,4,14,16,18,20}
