Rinsed degree sequences from file /home/harrisonw/betti/code/cppCode/burnfiles/c5/huge_output_parsed.txt
{0,1,2,3,4,5}
{0,1,2,3,5,6}
{0,1,2,3,7,8}
{0,1,2,4,5,6}
{0,1,2,5,6,7}
{0,1,3,4,5,6}
{0,1,3,5,7,8}
{0,1,4,6,9,10}
{0,1,5,6,7,8}
{0,2,3,7,8,10}
{0,2,5,7,8,9}
{0,2,7,8,9,10}
{0,1,5,7,11,12}
{0,1,9,10,11,12}
{0,2,5,9,12,14}
{0,2,11,12,13,15}
{0,3,4,10,11,14}
{0,1,3,13,15,16}
{0,1,5,11,15,16}
{0,1,7,9,15,16}
{0,1,13,14,15,16}
{0,4,11,14,15,16}
{0,1,10,12,21,22}
{0,3,17,18,20,21}
{0,4,7,15,18,22}
{0,5,19,20,21,24}
{0,6,18,20,21,24}
{0,1,13,15,27,28}
{0,2,11,15,24,26}
{0,5,8,18,21,26}
{0,1,16,18,33,34}
{0,4,13,21,30,34}
{0,5,11,21,27,32}
{0,5,27,32,33,35}
{0,7,10,24,27,34}
{0,3,24,33,35,36}
{0,5,14,24,33,38}
{0,7,13,27,33,40}
{0,8,11,27,30,38}
{0,8,30,33,35,36}
{0,5,49,50,54,55}
{0,15,55,63,64,70}
{0,7,70,71,72,78}
{0,12,72,75,77,78}
{0,27,90,91,92,96}
{0,7,97,98,104,105}
{0,27,77,90,104,105}
{0,35,105,119,120,140}
