Rinsed degree sequences from file /home/harrisonw/betti/code/cppCode/burnfiles/c6/huge_output_parsed.txt
{0,1,2,3,4,5,6}
{0,1,2,3,5,7,8}
{0,1,2,3,6,7,8}
{0,1,2,5,6,7,8}
{0,1,3,5,6,7,8}
{0,1,2,3,4,9,10}
{0,1,2,3,6,8,10}
{0,1,2,3,7,8,10}
{0,1,2,3,7,9,10}
{0,1,2,3,8,9,10}
{0,1,2,4,5,8,9}
{0,1,2,4,7,8,9}
{0,1,2,5,7,8,9}
{0,1,2,5,8,9,10}
{0,1,2,7,8,9,10}
{0,1,3,6,7,8,10}
{0,1,3,7,8,9,10}
{0,1,4,5,6,9,10}
{0,1,4,5,7,8,9}
{0,1,6,7,8,9,10}
{0,2,3,4,7,9,10}
{0,2,3,7,8,9,10}
{0,2,4,7,8,9,10}
{0,2,5,7,8,9,10}
{0,1,4,5,6,13,14}
{0,1,8,9,10,13,14}
{0,2,4,5,6,12,14}
{0,2,8,9,10,12,14}
{0,3,9,10,11,12,14}
{0,1,3,13,14,15,16}
{0,1,4,7,11,12,15}
{0,1,5,11,12,15,16}
{0,1,6,7,9,15,16}
{0,1,7,9,10,15,16}
{0,1,9,13,14,15,16}
{0,1,11,12,13,14,15}
{0,2,10,11,12,13,15}
{0,3,4,8,11,14,15}
{0,3,8,10,11,14,15}
{0,1,16,17,18,19,20}
{0,1,8,13,14,15,21}
{0,1,15,16,19,20,21}
{0,3,15,17,18,20,21}
{0,4,6,7,8,18,22}
{0,4,14,15,16,18,22}
{0,6,7,8,13,20,21}
{0,1,21,22,23,24,25}
{0,6,19,20,21,25,26}
{0,1,12,22,25,26,27}
{0,2,23,25,26,27,28}
{0,2,20,26,27,28,30}
{0,6,9,10,12,24,30}
{0,6,18,20,21,24,30}
{0,3,24,30,33,35,36}
{0,7,25,27,28,32,35}
{0,8,30,32,33,35,36}
{0,7,32,33,35,39,40}
{0,7,24,25,27,34,42}
{0,8,15,17,18,35,42}
{0,9,30,35,39,42,44}
{0,3,66,67,69,70,72}
